komentar,emosi,sentimen
"Menurut gw, banyak yang masih debat soal video itu, cmiiw ya",Lainnya,
"Anjir sumpah, miris banget lihat pembiaran kekerasan gitu, penasaran ama opini kalian",Marah,
"Kocak tapi miris, fungsi polisi buat apa kalo gini?, semoga bermanfaat",Lainnya,
"Baru ngeh deh, respect sama orang yang rekam dan sebarin videonya, gak ada maksud jelek",Lainnya,
"Nyata banget ini, bener-bener kehilangan rasa aman sih, tetap waspada guys 💪",Sedih,
"Btw guys, kebetulan nongol terus di FYP, semoga bermanfaat",Lainnya,
"Anjir sumpah, semoga institusi berbenah, any thoughts?",Marah,
"Asli parah, bikin malu banget sih polisi cuma rekam doang, good vibes only",Lainnya,
"Gue setuju sih, belum jelas juga siapa yang bener, penasaran ama opini kalian",Lainnya,
"Gokil sih, respect sama orang yang rekam dan sebarin videonya, any thoughts?",Lainnya,
"Btw guys, parahnya bukan main, udah jatuh ditimpa kamera polisi, gimana menurut lo?",Lainnya,
"Menurut gw, semoga pelaku dihukum setimpal, good vibes only",Lainnya,
"Gak masuk akal sih, bikin malu banget sih polisi cuma rekam doang, cmiiw ya",Lainnya,
"Bener juga ya, bikin malu banget sih polisi cuma rekam doang, sekilas pikiran aja",Lainnya,
"Btw guys, jangan-jangan udah biasa diem aja?, sekian aja sih",Lainnya,
"Baru ngeh deh, semoga pelaku dan pembiar dihukum adil, tetap waspada guys 💪",Lainnya,
"Gue gak habis pikir, ini bukan cuma salah pelaku, yang diem juga bersalah, tetap waspada guys 💪",Lainnya,
"Gue gak habis pikir, semoga pelaku dan pembiar dihukum adil, tetap waspada guys 💪",Lainnya,
"Serius deh, jangan-jangan udah biasa diem aja?, cuma share aja",Lainnya,
"Gak masuk akal sih, rame banget yang repost, semoga bermanfaat",Lainnya,
"Gokil sih, polisinya malah nontonin, sumpah absurd, penasaran ama opini kalian",Lainnya,
"Gak masuk akal sih, itu debt collector udah kayak preman, curious ama pendapat lain",Lainnya,
"Sadar gak sih, semoga korban dapet bantuan hukum, semoga bermanfaat",Lainnya,
"Nyata banget ini, semoga korban dapet bantuan hukum, semoga bermanfaat",Lainnya,
"Fix banget, akhirnya banyak yang buka suara soal ini 👏, sekian aja sih",Lainnya,
"Menurut gw, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, tetap waspada guys 💪",Lainnya,
"Nyata banget ini, bikin malu banget sih polisi cuma rekam doang, gimana menurut lo?",Lainnya,
"Serius deh, semoga pelaku dihukum setimpal, tetap waspada guys 💪",Lainnya,
"Gue gak habis pikir, masih coba cerna kenapa gak ada yang bantu, sekilas pikiran aja",Lainnya,
"Bener juga ya, jangan takut speak up soal ketidakadilan, good vibes only",Takut,
"Btw guys, ini kalo gak viral, bakalan hilang gitu aja, apa pendapat kalian?",Lainnya,
"Fix banget, parahnya bukan main, udah jatuh ditimpa kamera polisi, gimana menurut lo?",Lainnya,
"Serius deh, pro kontra banget sih ini, gak ada maksud jelek",Lainnya,
"Baru ngeh deh, semoga pelaku dihukum setimpal, lagi rame nih",Lainnya,
"Lo pernah liat video itu gak, tugas polisi bukan jadi kameramen, semoga bermanfaat",Lainnya,
"Nyata banget ini, semoga korban dapet bantuan hukum, penasaran ama opini kalian",Lainnya,
"Gak masuk akal sih, viral kayak gini penting biar dibuka matanya, gimana menurut lo?",Lainnya,
"Kocak tapi miris, jangan-jangan udah biasa diem aja?, semoga bermanfaat",Lainnya,
"Asli parah, polisinya malah nontonin, sumpah absurd, gak ada maksud jelek",Lainnya,
"Gokil sih, kalo rakyat kecil, pasti udah ditangkap tuh, sekian aja sih",Lainnya,
"Miris banget, parahnya bukan main, udah jatuh ditimpa kamera polisi, ini opini pribadi",Lainnya,
"Gue gak habis pikir, parahnya bukan main, udah jatuh ditimpa kamera polisi, sekian aja sih",Lainnya,
"Sadar gak sih, kok bisa kejadian di depan mapolri?, ini opini pribadi",Lainnya,
"Asli parah, bener-bener kehilangan rasa aman sih, sekilas pikiran aja",Sedih,
"Gue setuju sih, semoga korban dapet bantuan hukum, cmiiw ya",Lainnya,
"Gue gak habis pikir, kok bisa kejadian di depan mapolri?, sekilas pikiran aja",Lainnya,
"Sadar gak sih, belum jelas juga siapa yang bener, no hate ya",Lainnya,
"Fix banget, ini kalo gak viral, bakalan hilang gitu aja, sekian aja sih",Lainnya,
"Asli serem, masih banyak orang baik yang peduli, let’s discuss",Lainnya,
"Sadar gak sih, masih nunggu penjelasan dari pihak berwenang, penasaran ama opini kalian",Lainnya,
"Lo pernah liat video itu gak, kebetulan nongol terus di FYP, cuma share aja",Lainnya,
"Gak masuk akal sih, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, semoga bermanfaat",Lainnya,
"Ini mah keterlaluan, semoga pelaku dihukum setimpal, ini opini pribadi",Lainnya,
"Miris banget, semoga ini jadi titik balik perubahan, lagi rame nih",Lainnya,
"Bener juga ya, masih banyak orang baik yang peduli, ini opini pribadi",Lainnya,
"Gue baru kepikiran, penting banget edukasi hukum ke masyarakat, peace all ✌️",Sedih,
"Gue baru kepikiran, kita bayar pajak buat ditontonin doang?, cmiiw ya",Lainnya,
"Serius deh, ini bukan cuma salah pelaku, yang diem juga bersalah, sekilas pikiran aja",Lainnya,
"Gue setuju sih, semoga pelaku dan pembiar dihukum adil, no hate ya",Lainnya,
"Serius deh, masih banyak orang baik yang peduli, gak ada maksud jelek",Lainnya,
"Gue gak habis pikir, pro kontra banget sih ini, cuma share aja",Lainnya,
"Lo pernah liat video itu gak, harusnya viral biar ditindak, cuma share aja",Lainnya,
"Asli serem, masih coba cerna kenapa gak ada yang bantu, sekian aja sih",Lainnya,
"Gue baru kepikiran, viral kayak gini penting biar dibuka matanya, penasaran ama opini kalian",Lainnya,
"Gue setuju sih, penting banget edukasi hukum ke masyarakat, peace all ✌️",Sedih,
"Fix banget, bikin malu banget sih polisi cuma rekam doang, peace all ✌️",Lainnya,
"Btw guys, masyarakat gak boleh diam aja sih, ini opini pribadi",Lainnya,
"Menurut gw, masa kejadian kayak gitu ga ditindak?, peace all ✌️",Lainnya,
"Baru ngeh deh, ga tau harus bela siapa dulu, lagi rame nih",Lainnya,
"Baru ngeh deh, bikin malu banget sih polisi cuma rekam doang, apa pendapat kalian?",Lainnya,
"Sadar gak sih, viral kayak gini penting biar dibuka matanya, let’s discuss",Lainnya,
"Gue gak habis pikir, bikin malu banget sih polisi cuma rekam doang, tetap waspada guys 💪",Lainnya,
"Sadar gak sih, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, santai aja bacanya",Lainnya,
"Gokil sih, kok bisa diem aja sih? 😤, sekilas pikiran aja",Lainnya,
"Nyata banget ini, semoga pelaku dan pembiar dihukum adil, let’s discuss",Lainnya,
"Sadar gak sih, belum jelas juga siapa yang bener, no hate ya",Lainnya,
"Menurut gw, jangan takut speak up soal ketidakadilan, sekilas pikiran aja",Takut,
"Gak masuk akal sih, masyarakat gak boleh diam aja sih, good vibes only",Lainnya,
"Lo pernah liat video itu gak, masyarakat gak boleh diam aja sih, gak ada maksud jelek",Lainnya,
"Gokil sih, viral kayak gini penting biar dibuka matanya, tetap waspada guys 💪",Lainnya,
"Asli parah, lagi trending banget di explore, no hate ya",Lainnya,
"Lo pernah liat video itu gak, semoga korban dapet keadilan 🙏, gimana menurut lo?",Lainnya,
"Anjir sumpah, kita bayar pajak buat ditontonin doang?, tetap waspada guys 💪",Marah,
"Serius deh, kita bayar pajak buat ditontonin doang?, lagi rame nih",Lainnya,
"Asli parah, parahnya bukan main, udah jatuh ditimpa kamera polisi, semoga bermanfaat",Lainnya,
"Asli serem, ga tau harus bela siapa dulu, peace all ✌️",Lainnya,
"Sadar gak sih, mudah-mudahan jadi pelajaran buat semuanya, cuma share aja",Lainnya,
"Asli serem, ini kalo gak viral, bakalan hilang gitu aja, gak ada maksud jelek",Lainnya,
"Sadar gak sih, mudah-mudahan jadi pelajaran buat semuanya, cuma share aja",Lainnya,
"Asli serem, semoga ini jadi titik balik perubahan, cuma share aja",Lainnya,
"Miris banget, masyarakat gak boleh diam aja sih, apa pendapat kalian?",Lainnya,
"Miris banget, kita harus bareng-bareng jaga keadilan, santai aja bacanya",Lainnya,
"Gak masuk akal sih, itu debt collector udah kayak preman, cmiiw ya",Lainnya,
"Gue setuju sih, polisinya malah nontonin, sumpah absurd, apa pendapat kalian?",Lainnya,
"Anjir sumpah, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, good vibes only",Marah,
"Serius deh, ga tau harus bela siapa dulu, lagi rame nih",Lainnya,
"Asli serem, debt collector liar makin berani karena dibiarin, no hate ya",Lainnya,
"Asli parah, semoga korban dapet bantuan hukum, peace all ✌️",Lainnya,
"Gue baru kepikiran, belum ngerti konteks lengkapnya, gak ada maksud jelek",Lainnya,
"Baru ngeh deh, penting banget edukasi hukum ke masyarakat, curious ama pendapat lain",Sedih,
"Gue gak habis pikir, masih banyak orang baik yang peduli, apa pendapat kalian?",Lainnya,
"Lo pernah liat video itu gak, ini kalo gak viral, bakalan hilang gitu aja, any thoughts?",Lainnya,
"Asli serem, pro kontra banget sih ini, santai aja bacanya",Lainnya,
"Gak masuk akal sih, viral kayak gini penting biar dibuka matanya, gimana menurut lo?",Lainnya,
"Lo pernah liat video itu gak, masih banyak orang baik yang peduli, let’s discuss",Lainnya,
"Gue setuju sih, baru liat videonya rame di X, peace all ✌️",Lainnya,
"Gak masuk akal sih, itu debt collector udah kayak preman, gimana menurut lo?",Lainnya,
"Bener juga ya, akhirnya banyak yang buka suara soal ini 👏, lagi rame nih",Lainnya,
"Ini mah keterlaluan, masyarakat gak boleh diam aja sih, curious ama pendapat lain",Lainnya,
"Btw guys, kayaknya bakal panjang urusannya, sekilas pikiran aja",Lainnya,
"Gokil sih, penting banget edukasi hukum ke masyarakat, no hate ya",Sedih,
"Gokil sih, penting banget edukasi hukum ke masyarakat, no hate ya",Sedih,
"Serius deh, masa kejadian kayak gitu ga ditindak?, tetap waspada guys 💪",Lainnya,
"Serius deh, kebetulan nongol terus di FYP, good vibes only",Lainnya,
"Gue setuju sih, akhirnya banyak yang buka suara soal ini 👏, any thoughts?",Lainnya,
"Gue setuju sih, malu banget ama instansi yang harusnya melindungi, lagi rame nih",Lainnya,
"Anjir sumpah, semoga Polri mau introspeksi, cmiiw ya",Marah,
"Asli parah, semoga Polri mau introspeksi, cmiiw ya",Lainnya,
"Asli parah, masih coba cerna kenapa gak ada yang bantu, apa pendapat kalian?",Lainnya,
"Nyata banget ini, bikin malu banget sih polisi cuma rekam doang, santai aja bacanya",Lainnya,
"Nyata banget ini, tugas polisi bukan jadi kameramen, cuma share aja",Lainnya,
"Gue baru kepikiran, kok bisa kejadian di depan mapolri?, semoga bermanfaat",Lainnya,
"Kocak tapi miris, parahnya bukan main, udah jatuh ditimpa kamera polisi, let’s discuss",Lainnya,
"Nyata banget ini, semoga ini jadi titik balik perubahan, tetap waspada guys 💪",Lainnya,
"Gue baru kepikiran, jangan takut speak up soal ketidakadilan, cmiiw ya",Takut,
"Anjir sumpah, akhirnya banyak yang buka suara soal ini 👏, curious ama pendapat lain",Marah,
"Serius deh, kok bisa kejadian di depan mapolri?, setuju gak?",Lainnya,
"Nyata banget ini, baru liat videonya rame di X, santai aja bacanya",Lainnya,
"Lo pernah liat video itu gak, penasaran sama klarifikasi dari pihak polisi, penasaran ama opini kalian",Lainnya,
"Anjir sumpah, masih banyak orang baik yang peduli, cmiiw ya",Marah,
"Fix banget, udah kayak negara tanpa hukum, gimana menurut lo?",Lainnya,
"Asli serem, miris banget lihat pembiaran kekerasan gitu, any thoughts?",Lainnya,
"Lo pernah liat video itu gak, mudah-mudahan jadi pelajaran buat semuanya, gak ada maksud jelek",Lainnya,
"Gue setuju sih, jangan takut speak up soal ketidakadilan, curious ama pendapat lain",Takut,
"Gue baru kepikiran, kok bisa kejadian di depan mapolri?, curious ama pendapat lain",Lainnya,
"Btw guys, kalo rakyat kecil, pasti udah ditangkap tuh, let’s discuss",Lainnya,
"Gokil sih, liat-liat dulu aja deh, cmiiw ya",Lainnya,
"Serius deh, tugas polisi bukan jadi kameramen, apa pendapat kalian?",Lainnya,
"Sadar gak sih, rame banget yang repost, semoga bermanfaat",Lainnya,
"Lo pernah liat video itu gak, semoga pelaku dihukum setimpal, ini opini pribadi",Lainnya,
"Asli serem, masih coba cerna kenapa gak ada yang bantu, cmiiw ya",Lainnya,
"Serius deh, masih coba cerna kenapa gak ada yang bantu, peace all ✌️",Lainnya,
"Gokil sih, gak ngerti ama logika aparat sekarang, gimana menurut lo?",Lainnya,
"Btw guys, semoga korban dapet bantuan hukum, apa pendapat kalian?",Lainnya,
"Sadar gak sih, respect sama orang yang rekam dan sebarin videonya, tetap waspada guys 💪",Lainnya,
"Kocak tapi miris, gak ngerti ama logika aparat sekarang, cuma share aja",Lainnya,
"Kocak tapi miris, itu debt collector udah kayak preman, let’s discuss",Lainnya,
"Asli parah, ga tau harus bela siapa dulu, gak ada maksud jelek",Lainnya,
"Gokil sih, polisinya malah nontonin, sumpah absurd, sekian aja sih",Lainnya,
"Miris banget, masih banyak orang baik yang peduli, setuju gak?",Lainnya,
"Asli serem, respect sama orang yang rekam dan sebarin videonya, good vibes only",Lainnya,
"Bener juga ya, kok bisa diem aja sih? 😤, cuma share aja",Lainnya,
"Ini mah keterlaluan, polisinya malah nontonin, sumpah absurd, good vibes only",Lainnya,
"Gokil sih, masih banyak orang baik yang peduli, ini opini pribadi",Lainnya,
"Kocak tapi miris, bingung ama kronologinya, cmiiw ya",Lainnya,
"Bener juga ya, semoga ini jadi titik balik perubahan, cmiiw ya",Lainnya,
"Sadar gak sih, ini kalo gak viral, bakalan hilang gitu aja, tetap waspada guys 💪",Lainnya,
"Serius deh, masyarakat gak boleh diam aja sih, any thoughts?",Lainnya,
"Gue setuju sih, semoga ini jadi titik balik perubahan, let’s discuss",Lainnya,
"Lo pernah liat video itu gak, belum tau latar belakangnya, sekian aja sih",Lainnya,
"Lo pernah liat video itu gak, bikin malu banget sih polisi cuma rekam doang, ini opini pribadi",Lainnya,
"Baru ngeh deh, ini bukan cuma salah pelaku, yang diem juga bersalah, good vibes only",Lainnya,
"Fix banget, respect sama orang yang rekam dan sebarin videonya, ini opini pribadi",Lainnya,
"Ini mah keterlaluan, doain korban kuat dan sehat terus, any thoughts?",Lainnya,
"Asli parah, semoga institusi berbenah, gak ada maksud jelek",Lainnya,
"Gokil sih, kebetulan nongol terus di FYP, ini opini pribadi",Lainnya,
"Menurut gw, masih nunggu penjelasan dari pihak berwenang, ini opini pribadi",Lainnya,
"Bener juga ya, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, cuma share aja",Lainnya,
"Menurut gw, respect sama orang yang rekam dan sebarin videonya, semoga bermanfaat",Lainnya,
"Nyata banget ini, bener-bener kehilangan rasa aman sih, lagi rame nih",Sedih,
"Menurut gw, ini kalo gak viral, bakalan hilang gitu aja, setuju gak?",Lainnya,
"Fix banget, ini kalo gak viral, bakalan hilang gitu aja, ini opini pribadi",Lainnya,
"Gue gak habis pikir, mudah-mudahan jadi pelajaran buat semuanya, cuma share aja",Lainnya,
"Lo pernah liat video itu gak, sekilas kayak pembiaran, tapi pengen liat konfirmasi dulu, semoga bermanfaat",Lainnya,
"Anjir sumpah, gak ngerti ama logika aparat sekarang, ini opini pribadi",Marah,
"Nyata banget ini, harusnya viral biar ditindak, sekilas pikiran aja",Lainnya,
"Gue setuju sih, fungsi polisi buat apa kalo gini?, apa pendapat kalian?",Lainnya,
"Sadar gak sih, harusnya viral biar ditindak, any thoughts?",Lainnya,
"Ini mah keterlaluan, bikin malu banget sih polisi cuma rekam doang, setuju gak?",Lainnya,
"Nyata banget ini, kok bisa diem aja sih? 😤, good vibes only",Lainnya,
"Baru ngeh deh, masih coba cerna kenapa gak ada yang bantu, cuma share aja",Lainnya,
"Sadar gak sih, penasaran sama klarifikasi dari pihak polisi, cmiiw ya",Lainnya,
"Menurut gw, kita bayar pajak buat ditontonin doang?, santai aja bacanya",Lainnya,
"Fix banget, ini bukan cuma salah pelaku, yang diem juga bersalah, penasaran ama opini kalian",Lainnya,
"Gue baru kepikiran, jangan takut speak up soal ketidakadilan, apa pendapat kalian?",Takut,
"Gak masuk akal sih, lagi trending banget di explore, no hate ya",Lainnya,
"Asli parah, masih banyak orang baik yang peduli, santai aja bacanya",Lainnya,
